info_Nombre de la publicación aprobada por el Indautor,info_No. Expediente en CCPRI,info_Periodicidad,info_Nombre comercial,info_Nombre fiscal,info_RFC del medio impreso,info_Estado,info_Número exterior,info_Código postal,info_Municipio,info_Colonia,info_Calle,info_Teléfono1,info_Presidente/a,info_Director/a editorial,info_Jefe/a de información y/o redacción,info_Fecha fundación,info_Fecha ejemplar,info_Página electrónica,info_Correo electrónico,info_Director/a general,info_Representante legal,info_Gerente comercial,info_Ejemplar de muestra,info_Cuenta con código de ética,info_Carta protesta firmada por el/la títular o el/la representante legal del medio impreso sobre requisitos obligatorios,info_Carta de conocimiento de leyes generales firmada por el/ella representante legal y editor(a) responsable,info_Tipo Tarifa,circulacion_Nombre de la publicación aprobada por el Indautor,circulacion_No. Expediente en CCPRI,circulacion_Periodicidad,circulacion_Fecha de ingreso/actualización del archivo PDF en el sistema,circulacion_Fecha de emisión del certificado,circulacion_Tiraje promedio,circulacion_Tipo de persona física o moral que lleva a cabo la certificación,"circulacion_Nombre, denominación social o razón social según corresponda",circulacion_Número de ediciones evaluadas,circulacion_Promedio de circulación,circulacion_Ventas,circulacion_Devoluciones,circulacion_Circulación pagada,circulacion_Promedio de circulación pagada,perfil_Nombre de la publicación aprobada por el Indautor,perfil_No. Expediente en CCPRI,perfil_Periodicidad,"perfil_Nombre, denominación o razón social",perfil_Estado,perfil_Núm. Exterior,perfil_Núm. Interior,perfil_Código Postal,perfil_Municipio/Delegación,perfil_Colonia,perfil_Calle,perfil_Teléfono,perfil_Página electrónica,perfil_Instrumento de medición,perfil_Universo,perfil_Tamaño de muestra,perfil_Nivel de confianza,perfil_Inicio,perfil_Termino,perfil_Tipo de entrevista o estrategia para el estudio,perfil_Margen de error,perfil_Mujeres,perfil_Hombres,perfil_Urbana,19-24,25-34,35-44,45-54,AB/C+,C,D+,Licenciatura,Postgrado,Preparatoria o Carrera Técnica,Primaria,Secundaria,Ama De Casa,Estudiante,Otro,Retirado,Trabaja Tiempo,Trabaja Tiempo Completo,info_Gerente general,circulacion_Curriculum,perfil_Persona que realiza el perfil del/la lector/a,perfil_Correo Electrónico,55-64,65 y más,D/E,Comerciante,Empleado,Hogar,Industrial,Obrero,Profesionista,circulacion_Distribución gratuita,circulacion_Circulación gratuita,circulacion_Promedio de circulación gratuita,Jubilado,Labores Del Hogar,info_Teléfono2,circulacion_Suscripciónes pagadas,Empleado IP,Empresario,Profesionista Independiente,Servidor Público,perfil_Rural,13-18,Iniciativa Privada,info_Número interior,circulacion_Directorio,circulacion_Metodología,Autoempleado,Director/Gerente,Maestro,Labor De Hogar,circulacion_Distribución a personas identificadas,circulacion_Circulación controlada,circulacion_Promedio de circulación controlada,Trabaja Medio Tiempo,0-12,Comerciantes,Desempleados,Estudiantes,Industriales,Política,Profesionistas,Otros,Sin Estudios,Empleados,Funcionarios,Al Hogar,Jubilado/Pensionado/Retirado,Temporalmente Desempleado,Trabaja,circulacion_Distribución calificada,circulacion_Circulación calificada,circulacion_Promedio de circulación calificada,info_Teléfono3,info_Teléfono4,Pensionado,Jubilado O Pensionado,Profesionistas Independientes,Otra,info_Fax,PPProfesionista Independiente,Agricultor,Ejecutivo,Funcionario Publico,Gobierno,Trabajo Por Su Cuenta,Desempleado,perfil_Mixta,Agricultor/Campesino,Comerciante Ambulante,Comerciante Formal,Empleado Empresa Privada,Pensionado/Jubilado,Periodista,Profesor,Trabaja Por Su Cuenta Como Profesionista,Trabaja Por Su Cuenta En Oficios,Funcionario Público,Sector Empresarial,Negocio Propio,Obrero / Artesano,Por Su Cuenta,Ventas,CASA,ESCUELA,OTROS,TRABAJO,TRANSPORTE,Independientes,Sector Público,Retiro,Trabajo Mediotiempo,Trabajo Tiempo Completo,Al Hogar Y Trabaja 1/2 Tiempo,Estudiante Y Trabaja 1/2 Tiempo,Solo Trabaja 1/2 Tiempo,Director,Dueño O Socio,Gerente,Empleado Privado O Público,Trabaja Medío Tiempo,Agricultor Y Ganadero,Temporamente Desemplado,Estudiante Y Trabaja Medio Tiempo,Servidor Publico,Labores DelHogar,Servidores Público,Profesionista Independiene,Empleado Independiente,Rofesionista,Servicio Pública,Estudiante Y Trabaja,Trabajo,No Contestó,Servicio Publico,Estudiante Y Trabaja 1/2 Medio Tiempo,Funcionario,circulacion_Vendidos a un precio menor del 50%,EMPLEADOS,FUNCIONARIOS,PROFESIONISTAS,Empresario IP,Empresa,Trabaja Por Su Cuenta,IP,Jubildo,Jubilado/pensionado/retirado,Político,Estudiente,Administrativos,Educadores,"Otros Profesionistas Diversos (ingenieros, Contadores)",Esmpresario,Trabajo Completo,Trabajo Medio Tiempo,Amas De Casa,Ejecutivas,Empresaria,Comercante,Profeaionista,Estudante,Estuiante,Empleado Ip,Comerciate,Profesional Independiente,Empleo IP,Servicio Público,Administración Pública,Diseño / Propietario,Jubilado O Pendionado,Agricultor O Ganadero,Empleado Privado,Jubilado Y Pensionado,Patrón/Empresario/Profesionista/Independiente,Trabaja Medo Tiempo,Obrero Pemex,Profesionista Independietne,Servicios Públicos,info_Alto,Estudiante Trabaja 1/2 Tiempo
ZÓCALO PIEDRAS NEGRAS,CCPRI/3/TC/09/18375,Diario,Zócalo Piedras Negras,"Editorial Piedras Negras, S.A. de C.V.",EPN7106089Y7,Coahuila De Zaragoza,714,26000,Piedras Negras,Centro,Cuauhtémoc,782.0990 ,Francisco José Juaristi Santos,Francisco Liñan Delgadillo,Homero Gómez Valdés,13 JUN 1965,08 MAR 2019, www.zocalo.com.mx,publicidadpiedras@zocalo.com.mx,Francisco José Juaristi Santos,Luis Humberto Rodríguez Saenz,Raúl Vasquez Mercado,SI,NO,SI,SI,Periódico,ZÓCALO PIEDRAS NEGRAS,CCPRI/3/TC/09/18375,Diario,05 AGO 2019,12 ENE 2019,19015,Certificadora,"Aplicaciones Editoriales, S.A. de C.V.",90,17959,1585260,47520,1616310,17959,ZÓCALO PIEDRAS NEGRAS,CCPRI/3/TC/09/18375,Diario,"Aplicaciones Editoriales, S.A. de C.V.",San Luis Potosí,760,,78200,San Luis Potosi,Del Valle,Agustín Vera,444.811.3002,,Encuesta,630,600,97,01 ENE 2019,10 ENE 2019,Internet,Más Menos Tres,23%,77%,100%,6%,24%,35%,25%,91%,,9%,17%,3%,59%,,21%,20%,6%,,,,,,SI,,mateo_press@yahoo.com.mx,8%,2%,,30%,21%,,,,20%,,,,,,,78570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCALO SALTILLO,CCPRI/3/TC/09/18303,Diario,Zócalo Saltillo,"Zócalo de Saltillo, S.A. de C.V.",ZSA071018GN3,Coahuila De Zaragoza,5280,25210,Saltillo,Rancho de la Peña,Blvd. Venustiano Carranza,844.4383.1800 ,Francisco José Juaristi Santos,Sergio Cisneros,Claudia Olinda Moran,13 JUN 2008,08 MAR 2019, www.zocalo.com.mx,mayra.admonzocalo@gmail.com,Francisco José Juaristi Santos,Orlando Adalberto Hernández de la Rosa,Patricia Murillo Charles,SI,NO,SI,SI,Periódico,ZOCALO SALTILLO,CCPRI/3/TC/09/18303,Diario,07 AGO 2019,21 ENE 2019,43126,Certificadora,"Aplicaciones Editoriales, S.A. de C.V.",90,40597.53,3369220,113811,3600036,40000.4,ZOCALO SALTILLO,CCPRI/3/TC/09/18303,Diario,"Aplicaciones Editoriales, S.A. de C.V.",San Luis Potosí,760,,78200,San Luis Potosi,Del Valle,Agustín Vera,444.811.3002,,Cuestionario,630,600,97,,21 ENE 2019,Internet,Más Menos Tres,35%,65%,100%,3%,22%,43%,29%,95%,5%,,34%,9%,49%,,8%,17%,9%,,,,,,SI,,mateo_press@yahoo.com.mx,2%,1%,,19%,27%,,,,27%,53742,53742,597.13,,,,344627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOS DE LA COSTA,CCPRI/3/TC/09/18367,Diario,Ecos De La Costa,"Acolman Editora, S.A. de C.v.",AED180801AB5,Colima,452,28000,Colima,Colima Centro,Gabino Barreda,312.312.8011 ,,Agustín Martell Aparicio,Ramona Navarro Santana,15 OCT 1927,02 FEB 2020, www.ecosdelacosta.mx,directorecos@gmail.com,Jorge Humberto Silva Castro,Jorge Humberto Silva Castro,Juan Carlos Cruz Mauricio,SI,NO,SI,SI,Periódico,ECOS DE LA COSTA,CCPRI/3/TC/09/18367,Diario,05 FEB 2020,19 NOV 2019,5150,Certificadora,Agencia Certificadora y Gestora de Medios SC,92,5000,473800,13800,460000,5000,ECOS DE LA COSTA,CCPRI/3/TC/09/18367,Diario,Agencia Certificadora y Gestora de Medios SC,Ciudad De México,49,1402 14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,5536852022,www.agenciacgm.com,Encuesta,1200,245,96,14 NOV 2019,21 NOV 2019,Internet,Más Menos Cuatro,27%,73%,100%,9%,12%,28%,36%,96%,4%,,54%,22%,13%,,11%,,3%,,,,,Jorge Humberto Silva Castro,SI,MORAL,acgm.sc@gmail.com,15%,,,,8%,,,,61%,,,,,,312.312.8040 ,,,22%,,,,,,,,,,,,,,,,,,,,,,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSOTROS ESCRIBIMOS LA HISTORIA,CCPRI/3/TC/19/21233,Diario,Nosotros Escribimos La Historia,"Impresos el Mundo desde Colima, S. de R.L. de C.V.",IMD100105M58,Colima,133,28000,Colima,Colima Centro,Independencia,31.2312.3353 ,,Francisco Manuel Sánchez de la Madrid,Francisco Manuel Sánchez de la Madrid,12 SEP 1978,07 SEP 2019, www.elmundodesdecolima.mx,impresoselmundo@hotmail.com,Francisco Manuel Sánchez de la Madrid,Francisco Manuel Sánchez de la Madrid,,SI,NO,SI,SI,Periódico,NOSOTROS ESCRIBIMOS LA HISTORIA,CCPRI/3/TC/19/21233,Diario,17 SEP 2019,05 MAY 2019,11350,Certificadora,"Romay Hermida y Cía, S. C.",90,10495.2,679985,50397,818568,9095.2,NOSOTROS ESCRIBIMOS LA HISTORIA,CCPRI/3/TC/19/21233,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Cuestionario,2000,500,95,01 DIC 2018,31 DIC 2018,Calle,Más Menos Cinco,48%,52%,100%,15%,12%,18%,35%,30%,50%,20%,12%,,40%,13%,35%,,11%,,,,,,,MORAL,romayhermidayciasc@gmail.com,,5%,,24%,,,,,,126000,126000,1400,,7%,,188980,18%,7%,13%,20%,,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL SIGLO DE DURANGO,CCPRI/3/TC/13/19790,Diario,El Siglo De Durango,"Cía. Editora de La Laguna, S.A. de C.V.",ELA2508203L8,Durango,419,34000,Durango,Centro,Hidalgo,618.813.7080 ,Olga de Juambelz y Horcasitas,María del Socorro Soto Navarrete,María del Socorro Soto Navarrete,08 JUL 1993,, www.elsiglodedurango.com.mx,foraneos@elsiglodetorreon.com.mx,Antonio González Karg de Juambelz,María del Socorro Soto Navarrete,Jorge Alberto Galaviz Lara,NO,NO,SI,SI,Periódico,EL SIGLO DE DURANGO,CCPRI/3/TC/13/19790,Diario,11 JUN 2021,07 MAY 2021,16500,Certificadora,"Romay Hermida y Cía, S. C.",121,15932.97,1176530,62575,1916394,15837.97,EL SIGLO DE DURANGO,CCPRI/3/TC/13/19790,Diario,"Ipsos, S.A. de C.V.",Ciudad De México,475,7,121,Álvaro Obregón,Zedec Santa Fe,Av. Santa Fe,01 55 1101 0000,,Entrevista,19200,800,95,01 JUL 2018,31 DIC 2018,De Casa a Casa,Más Menos Siete,45%,55%,100%,18%,30%,18%,26%,30%,23%,30%,31%,3%,30%,11%,22%,,17%,,,,,Antonio González Karg de Juambelz,,MORAL,romayhermidayciasc@gmail.com,,,17%,,,,,,,11495,11495,95,,,,802439,,,,,,8%,,,,,,,,,,,,,,,,,,,,,3%,,,26%,6%,5%,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÓRALE! QUÉ CHIQUITO,CCPRI/3/TC/20/21297,Diario,Órale! Qué Chiquito,RADIO COMUNICACION GAMAR,RCG950102DJA,Durango,360,34000,Durango,Victoria de Durango Centro,Blas Corral,618.813.3300 ,Ricardo León Garza Limón,Carlos Garza Limón,Juan Ernesto Morales Peñate,09 JUN 2009,, www.grupogarzalimon.com,,Luis David Garza Mar Ricardo León Garza Mar,Gregorio Eleazar Montenegro Cano,Luis Román Chaidez Córdova,NO,NO,SI,SI,Periódico,ÓRALE! QUÉ CHIQUITO,CCPRI/3/TC/20/21297,Diario,10 AGO 2020,30 ABR 2020,9157,Certificadora,Lloyd International,91,8335,744034,74877,669530,7357.47,ÓRALE! QUÉ CHIQUITO,CCPRI/3/TC/20/21297,Diario,Lloyd International,Ciudad De México,72,,10400,Magdalena Contreras,San Jerónimo Aculco,Loma Bonita,018006545902,http://www.lloyd-international.com,Encuesta,959916,392,95,15 MAR 2020,31 MAR 2020,,Más Menos Cinco,57%,43%,75%,20%,19%,19%,18%,21%,32%,22%,25%,16%,25%,13%,13%,,,,,,,,,MORAL,info@lloyd-international.com,,3%,25%,21%,,16%,,,16%,,,,,,,373,,,,,25%,16%,20%,Desp 4,,,,,,,88955,88955,977.53,,5%,,2%,3%,3%,18%,,1%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL DÍA CELAYA,CCPRI/3/TC/18/21014,Diario,Al Día Celaya,"Editorial Martinica, S.A. de C.V.",EMA150928HCA,Guanajuato,101,38017,Celaya,La Ciudadela,Eje Manuel J. Clouthier,47.7788.2100 ,Ernesto Gómez Hernández,Jesús Padilla Pacheco,Marco Humberto Dávila García,31 AGO 2009,, am.com.mx,cmireles@am.com.mx,,Mario Humberto Dávila García,,NO,NO,SI,SI,Periódico,AL DÍA CELAYA,CCPRI/3/TC/18/21014,Diario,09 ABR 2021,24 FEB 2021,48500,Certificadora,"Romay Hermida y Cía, S. C.",90,45728.59,4212000,226751,4070573,45228.59,AL DÍA CELAYA,CCPRI/3/TC/18/21014,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Cuestionario,900,500,95,01 DIC 2020,31 DIC 2020,Internet,Más Menos Cinco,36%,64%,100%,18%,22%,31%,8%,47%,53%,,19%,,48%,18%,15%,,12%,,,,,Ernesto Gómez Orozco,,MORAL,romayhermidayciasc@gmail.com,,5%,,17%,16%,,,,,45000,45000,500,,19%,,85324,,5%,11%,20%,,16%,,A Loc. 14 Plaza A.M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL DÍA IRAPUATO,CCPRI/3/TC/18/21013,Diario,Al Día Irapuato,"Editorial Martinica, S.A. de C.V.",EMA150928HCA,Guanajuato,1185,36660,Irapuato,Los Reynas,Cascada,46.2624.2587 ,Ernesto Gómez Hernández,Jesús Padilla Pacheco,Marco Humberto Dávila García,16 MAR 2010,, aldia.mx,aldia@aldia.mx,Ernesto Gómez Orozco,Mario Humberto Dávila García,,NO,NO,SI,SI,Periódico,AL DÍA IRAPUATO,CCPRI/3/TC/18/21013,Diario,08 ABR 2021,24 FEB 2021,37500,Certificadora,"Romay Hermida y Cía, S. C.",90,35331.06,3177000,174557,3089795,34331.06,AL DÍA IRAPUATO,CCPRI/3/TC/18/21013,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Cuestionario,900,500,95,,31 DIC 2020,Internet,Más Menos Cinco,36%,64%,100%,18%,22%,31%,8%,47%,53%,,19%,,48%,18%,15%,,12%,,,,,,,MORAL,romayhermidayciasc@gmail.com,,5%,,17%,,,,,,90000,90000,1000,,19%,,87352,16%,5%,11%,20%,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL DÍA LA PIEDAD,CCPRI/3/TC/18/21010,Diario,Al Día La Piedad,"Editorial Martinica, S.A. de C.V.",EMA150928HCA,Guanajuato,708,37500,Leon,La Martinica,Blvd. Calzada de los Héroes,477.788.2175 ,Ernesto Gómez Hernández,Jesús Padilla Pacheco,Mario Humberto Dávila Garcia,21 ABR 2015,, aldia.mx,aldia@aldia.mx,Ernesto Gómez Orozco,Mario Humberto Dávila García,,NO,NO,SI,SI,Periódico,AL DÍA LA PIEDAD,CCPRI/3/TC/18/21010,Diario,09 ABR 2021,24 FEB 2021,16500,Certificadora,"Romay Hermida y Cía, S. C.",90,13600.22,1332000,241204,1143020,12700.22,AL DÍA LA PIEDAD,CCPRI/3/TC/18/21010,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Cuestionario,15000,500,95,01 DIC 2020,31 DIC 2020,Calle,Más Menos Cinco,36%,64%,100%,18%,22%,31%,8%,47%,53%,,19%,,48%,18%,15%,,12%,,,,,,,MORAL,romayhermidayciasc@gmail.com,,5%,,17%,,,,,,81000,81000,900,,19%,,52224,16%,5%,11%,20%,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL DÍA LEÓN,CCPRI/3/TC/18/21012,Diario,Al Dia León,"Editorial Martinica, S.A. de C.V.",EMA150928HCA,Guanajuato,708,37500,Leon,La Martinica,Blvd. Calzada de los Héroes,477.788.2100 ,Ernesto Gómez Hernández,Jesús Padilla Pacheco,Mario Humbreto Dávila García,30 JUL 1996,, aldia.mx,aldia@aldia.mx,Ernesto Gómez Orozco,Mario Humbreto Dávila García,,NO,NO,SI,SI,Periódico,AL DÍA LEÓN,CCPRI/3/TC/18/21012,Diario,09 ABR 2021,24 FEB 2021,55500,Certificadora,"Romay Hermida y Cía, S. C.",90,52205.81,4626000,272019,4653523,51705.81,AL DÍA LEÓN,CCPRI/3/TC/18/21012,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Encuesta,3000,500,95,01 DIC 2020,31 DIC 2020,Internet,Más Menos Cinco,36%,64%,100%,18%,22%,31%,8%,47%,53%,,19%,,48%,18%,15%,,12%,,,,,Ernesto Gómez Orozco,,MORAL,romayhermidayciasc@gmail.com,,5%,,17%,,,,,,45000,45000,500,,19%,,299542,16%,5%,11%,,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL DÍA SALAMANCA,CCPRI/3/TC/18/21005,Diario,Al Día Salamanca,"Editorial Martinica, S.A. de C.V.",EMA150928HCA,Guanajuato,1501,36747,Salamanca,Los Rangeles,Boulevard Faja de Oro,462.149.7861 ,Ernesto Gómez Hernández,Jesús Padilla Pacheco,Marco Humberto Dávila García,27 NOV 2012,, aldia.mx,aldia@aldia.mx,Ernesto Gómez Orozco,Mario Humberto Dávila García,,NO,NO,SI,SI,Periódico,AL DÍA SALAMANCA,CCPRI/3/TC/18/21005,Diario,09 ABR 2021,24 FEB 2021,18500,Certificadora,"Romay Hermida y Cía, S. C.",90,17476.98,1557000,70046,1550428,17226.98,AL DÍA SALAMANCA,CCPRI/3/TC/18/21005,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Cuestionario,17000,500,95,01 DIC 2020,31 DIC 2020,Internet,Más Menos Cinco,36%,64%,100%,18%,22%,31%,8%,47%,53%,,19%,,48%,18%,15%,,12%,,,,,,,MORAL,romayhermidayciasc@gmail.com,,5%,,17%,,,,,,22500,22500,250,,,,63474,16%,5%,11%,,,16%,,Local 1-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL DÍA SILAO,CCPRI/3/TC/18/21003,Diario,Al Día Silao,"Editorial Martinica, S.A. de C.V.",EMA150928HCA,Guanajuato,708,37500,Leon,La Martinica,Blvd Calzada de los Héroes,477.788.2100 ,Ernesto Gómez Hernández,Jesús Padilla Pacheco,Marco Humberto Dávila García,07 MAY 2013,, https://aldia.mx,aldia@aldia.mx,Ernesto Gómez Orozco,Mario Humberto Dávila García,,NO,NO,SI,SI,Periódico,AL DÍA SILAO,CCPRI/3/TC/18/21003,Diario,16 ABR 2021,24 FEB 2021,8700,Certificadora,"Romay Hermida y Cía, S. C.",90,7815.87,702000,61684,685428,7615.87,AL DÍA SILAO,CCPRI/3/TC/18/21003,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Encuesta,7000,500,95,01 DIC 2020,31 DIC 2020,Internet,Más Menos Cinco,36%,64%,100%,18%,22%,31%,8%,47%,53%,,19%,,48%,18%,15%,,12%,,,,,,,MORAL,romayhermidayciasc@gmail.com,,5%,,17%,,,,,,18000,18000,200,,19%,,45112,16%,5%,11%,20%,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL DÍA SUR,CCPRI/3/TC/18/21015,Diario,Al Día Sur,"Editorial Martinica, S.A. de C.V.",EMA150928HCA,Guanajuato,323,38800,Moroleon,Centro,Baja California,4777882175 ,Ernesto Gómez Hernández,Jesús Padilla Pacheco,Marco Humberto Dávila García,31 MAY 2012,, aldia.mx,aldia@aldia.mx,Ernesto Gómez Orozco,Mario Humberto Dávila García,,NO,NO,SI,SI,Periódico,AL DÍA SUR,CCPRI/3/TC/18/21015,Diario,16 ABR 2021,23 MAR 2020,17500,Certificadora,"Romay Hermida y Cía, S. C.",90,16465.92,1467000,76110,1463933,16265.92,AL DÍA SUR,CCPRI/3/TC/18/21015,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Cuestionario,15000,500,95,01 DIC 2020,31 DIC 2020,Internet,Más Menos Cinco,64%,36%,100%,18%,22%,31%,8%,47%,53%,,19%,,48%,18%,15%,,12%,,,,,,,MORAL,romayhermidayciasc@gmail.com,,5%,,17%,,,,,,18000,18000,200,,19%,,73043,16%,5%,11%,20%,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM CORREDOR INDUSTRIAL,CCPRI/3/TC/18/20979,Diario,Am Corredor Industrial,"Editorial Martinica, S.A. de C.V.",EMA150928HCA,Guanajuato,101,38017,Celaya,La Ciudadela,Eje Manuel J. Clouthier,477.788.2100 ,Ernesto Gómez Hernández,Arcelia Becerra,Arcelia Becerra,30 SEP 2016,01 FEB 2019, am.com.mx,cmireles@am.com.mx,Ernesto Gómez Orozco,Mario Humbreto Dávila García,,SI,NO,SI,NO,Periódico,AM CORREDOR INDUSTRIAL,CCPRI/3/TC/18/20979,Diario,16 ABR 2021,24 FEB 2021,37000,Certificadora,"Romay Hermida y Cía, S. C.",90,31076.88,2790000,516005,2733919,30376.88,AM CORREDOR INDUSTRIAL,CCPRI/3/TC/18/20979,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Encuesta,4000,500,95,01 DIC 2020,31 DIC 2020,Internet,Más Menos Cuatro,42%,58%,100%,15%,23%,18%,27%,90%,10%,,49%,28%,21%,,2%,,18%,,,,,Ernesto Gómez Orozco,,MORAL,romayhermidayciasc@gmail.com,,5%,,11%,,,,,,63000,63000,700,,13%,,459924,11%,20%,16%,11%,,12%,,A. Local 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM EXPRESS GUANAJUATO,CCPRI/3/TC/18/20980,Diario,Am Express Guanajuato,"EDITORIAL MARTINICA, S.A. DE C.V.",EMA150928HCA,Guanajuato,5,36000,Guanajuato,Zona Centro,Cantarranas,473 732 5697 ,Ernesto Gómez Hernández,Jesús Padilla Pacheco,Marco Humberto Dávila García,25 SEP 2013,, am.com.mx,amexpress_gto@periodico.am,Ernesto Gómez Hernández,Mario Humberto Dávila García,,NO,NO,SI,SI,Periódico,AM EXPRESS GUANAJUATO,CCPRI/3/TC/18/20980,Diario,16 ABR 2021,24 FEB 2021,20000,Certificadora,"Romay Hermida y Cía, S. C.",90,17580.07,1602000,194808,1528206,16980.07,AM EXPRESS GUANAJUATO,CCPRI/3/TC/18/20980,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Cuestionario,1000,500,95,01 DIC 2020,31 DIC 2020,Calle,Más Menos Cinco,42%,58%,100%,15%,23%,18%,27%,90%,10%,,49%,28%,21%,,2%,,18%,,,,,,,MORAL,romayhermidayciasc@gmail.com,,5%,,11%,,,,,,54000,54000,600,,13%,,121014,11%,20%,,11%,,12%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
